,dist_from_root,length,project,leafnode,n_synapse
0,0.025364332776982617,0.011055674360088232,daf-2 dauer,10629650,0
1,0.06266651838757444,0.011705777648539905,daf-2 dauer,10610549,0
2,0.11288953048569816,0.01624393169014359,daf-2 dauer,10629648,0
3,0.11366509477185614,0.06501368119716742,L3,7080972,0
4,0.13763046900456694,0.026009534275853192,daf-2 dauer,10610547,1
5,0.15237803976801592,0.08258035726541711,N2 dauer (Stigloher2),9003421,1
6,0.16047344390783277,0.014452345924180963,daf-2 dauer,10629644,0
7,0.16998975614270376,0.05361909603518472,N2 dauer (Stigloher2),8494881,1
8,0.17205372746957498,0.014930781836629655,daf-2 dauer,10610541,0
9,0.17918330477619837,0.17187818435378777,TEM adult,8213867,11
10,0.1818576934836723,0.03796410185076365,daf-2 dauer,10610538,1
11,0.18530631115947363,0.10685237224586824,L1 16hr,4387817,2
12,0.21009672755698644,0.03059265121308835,L2,4971049,0
13,0.22071756130601397,0.037542341987996095,N2 dauer (Stigloher3),16682329,0
14,0.25225320047910665,0.028368514363770424,L2,4971085,0
15,0.2621329434631198,0.011696322573504947,N2 dauer (Stigloher3),9193330,0
16,0.2690365205947296,0.06133701577381151,N2 dauer (Stigloher2),8787218,0
17,0.29086709700749314,0.06287495037861106,daf-2 dauer,10629641,3
18,0.2989735938011343,0.19832848472563439,N2 dauer (Stigloher2),8967781,1
19,0.3150885420170885,0.0750607116936448,N2 dauer (Stigloher2),8787252,1
20,0.35276206453118975,0.08856270428603683,N2 dauer (Stigloher3),16682298,6
21,0.3854767696899518,0.05177619097853164,SEM adult,8375188,0
22,0.38671792086459905,0.08198133397792758,L3,7080956,1
23,0.39464637625293786,0.0031274391079440383,N2 dauer (Stigloher2),8762336,0
24,0.39790941558965254,0.1977916492200397,daf-2 dauer,10610531,3
25,0.40118337897905143,0.04107986695978515,N2 dauer (Stigloher3),9193361,3
26,0.4072384884339639,0.13339714583528584,L1 0hr,6651287,0
27,0.4077592485358389,0.0392214355089696,L3,7121135,0
28,0.42360223336874586,0.08654650361517306,daf-2 dauer,10629630,2
29,0.4477816798866526,0.0008584536823181462,N2 dauer (Stigloher3),9207123,0
30,0.4824681831175756,0.0028591494269249195,daf-2 dauer,10629616,1
31,0.5069846943900785,0.06665180426505528,L1 16hr,4374621,2
32,0.5326457965547424,0.009150626774914444,daf-2 dauer,10610455,0
33,0.5361779673098881,0.013506825702906062,daf-2 dauer,10629520,0
34,0.5447245816517075,0.043109403367050346,N2 dauer (Stigloher2),8762249,0
35,0.5736648458767801,0.02821543786889119,N2 dauer (Stigloher2),8787302,0
36,0.5800595747279047,0.001774975934878709,TEM adult,8214115,0
37,0.6060681189769915,0.012793492436049634,N2 dauer (Stigloher3),9499126,0
38,0.6458941856396572,0.040861216584028213,N2 dauer (Stigloher3),9503728,3
39,0.7011119859348364,0.006246339363314565,N2 dauer (Stigloher3),9590942,0
40,0.7601408838028948,0.005563838301765402,daf-2 dauer,10610512,0
41,0.7795866462188745,0.015136389356180058,N2 dauer (Stigloher3),16682297,0
42,0.8506566434294415,0.04066110843690814,N2 dauer (Stigloher2),8529619,1
43,0.8808743355965449,0.024146969838330493,L1 5hr,9542797,0
44,0.8903276636016255,0.0444782359726599,daf-2 dauer,10629611,3
45,0.9032293380679709,0.04295862164136968,N2 dauer (Stigloher2),9010178,0
46,0.909260910879862,0.0009486884189724112,N2 dauer (Stigloher3),9503761,0
47,0.9171576758960603,0.015172512382403835,SEM adult,8375540,1
48,0.9175967111725243,0.06419072420333803,L3,7121210,3
49,0.925037353494365,0.033252798233009515,N2 dauer (Stigloher3),9597484,0
50,0.9271103680526384,0.03632095039467705,daf-2 dauer,10610511,1
51,0.9298823605929183,0.020379582018435153,N2 dauer (Stigloher2),8762311,0
52,0.9324772454236001,0.05473944509935125,L1 5hr,9574936,2
53,0.9392675185013033,0.03574528569981813,L2,4971362,1
54,0.9590646717533908,0.0389887472417149,N2 dauer (Stigloher2),8990048,0
55,0.9601994377855075,0.03404284996336492,N2 dauer (Stigloher3),9597478,0
56,0.9627577127430751,0.01675740768533638,N2 dauer (Stigloher3),16681507,0
57,0.9633441525309494,0.036508439646216494,TEM adult,8214098,1
