Unnamed: 0,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,16674175,8987518,0.0252277283147982,0.6649399020685535,ADAL,138,1,ASHL,"['ADAL', 'AVDL']"
1,16674146,9001666,0.0,0.1726403425712915,ADAL,138,1,ASHL,"['AWBL', 'ADAL', 'RIAL']"
2,9009440,16673676,0.0068531289838498,0.6649399020685535,ADAL,138,0,ADAL,['AVAL']
3,9009438,9009437,0.0,0.6682326600861903,ADAL,138,0,ADAL,['AVBR']
4,9009428,9009429,0.0,0.2631065528074722,ADAL,138,0,ADAL,"['DVA', 'RIML', 'RICR', 'AVBR']"
5,9009426,9009425,0.0,0.1792055658908469,ADAL,138,0,ADAL,"['AVBR', 'RIML']"
6,8782005,9009424,0.0,0.148019445188042,ADAL,138,0,ADAL,"['AVBL', 'RIML']"
7,8980081,9009423,0.0,0.117324661238526,ADAL,138,0,ADAL,"['RIML', 'AVBL', 'AVBR']"
8,9003387,9003452,0.072868481183268,0.1627553234939836,ADAL,138,1,AWBL,"['RIAL', 'ADAL']"
9,9003387,9003386,0.072868481183268,0.1627553234939836,ADAL,138,1,AWAL,"['ASHL', 'ADAL', 'AWBL']"
10,9000122,9000124,0.0,0.1955015856408162,ADAL,138,1,AIAL,"['ADAL', 'AIBL', 'ASHL']"
11,8999169,8999167,0.0110503372774774,0.2162821104355112,ADAL,138,1,ADFL,"['SMBDL', 'AWBL', 'SIAVL', 'ADAL']"
12,8781842,8999161,0.0215406097648209,0.4979313356722885,ADAL,138,1,ADFL,"['ASHL', 'RMGL', 'ADAL']"
13,8980259,8980260,0.0165654206381569,0.4979313356722885,ADAL,138,0,ADAL,"['AVJR', 'AVBL']"
14,8980234,8980233,0.0,0.1804023252131694,ADAL,138,0,ADAL,"['RIML', 'AVBL']"
15,8980081,8980080,0.0,0.117324661238526,ADAL,138,1,RIML,"['AVBL', 'AVBR', 'ADAL']"
0,16674164,16674165,0.0246068443673905,0.5557475496522215,ADAR,138,1,ASHR,"['ADAR', 'AVDL', 'AVAR']"
1,16674141,9003493,0.0,0.2351408450048719,ADAR,138,1,ASHR,"['ADAR', 'AWBR', 'RIAR']"
2,16673721,16673719,0.0,0.6485250897976792,ADAR,138,1,ADFR,"['ADAR', 'RMGR']"
3,9186566,9186565,0.0,0.4437436446631531,ADAR,138,0,ADAR,"['SMBDR', 'SAADR', 'RMFR', 'AVAL']"
