Unnamed: 0,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9599704,0.0,0.1611001336986466,ADAL,156,1,PVPL,['ADAL']
1,9599157,0.0126464198406797,0.781760288931824,ADAL,156,1,CEPDL,"['ADAL', 'RICL']"
2,9598886,0.0172890962837973,0.339774260807597,ADAL,156,1,AVHR,"['ADAL', 'SIAVL', 'DVA']"
3,9598404,0.0,0.6169144323021977,ADAL,156,1,ASHL,"['ADAL', 'AVAL']"
4,9598349,0.0,0.1960857609199289,ADAL,156,1,AQR,"['FLPL', 'ADAL']"
5,9598230,0.0147099356518621,0.5972880039258269,ADAL,156,1,ALML,['ADAL']
6,9597737,0.0579066372647821,0.2805477966885643,ADAL,156,1,AIAL,"['ADAL', 'AIBL']"
7,9597728,0.1381112647410774,0.5972880039258269,ADAL,156,1,AIAL,"['ADAL', 'AIBL']"
8,9597539,0.0586577847716553,0.5972880039258269,ADAL,156,1,RIFL,"['ADAL', 'ASHL']"
9,9597535,0.0070526529461486,0.339774260807597,ADAL,156,1,RIFL,"['AVHR', 'ADAL']"
10,9597514,0.0,0.2767676488961072,ADAL,156,1,RIFL,['ADAL']
11,9597507,0.0,0.2978569153497603,ADAL,156,1,RIFL,"['ASHL', 'ADAL']"
12,9597500,0.0,0.3094170122272562,ADAL,156,1,RIFL,"['RIML', 'ADAL']"
13,9597496,0.0918367043065632,0.5972880039258269,ADAL,156,1,RIFL,['ADAL']
14,9596737,0.0,0.2625036180546045,ADAL,156,0,ADAL,['RIML']
15,9596733,0.0219146165350933,0.5972880039258269,ADAL,156,0,ADAL,"['AVDR', 'AVAL', 'AVBL']"
16,9596720,0.0263762649903418,0.5972880039258269,ADAL,156,0,ADAL,"['BDUL', 'ALML']"
17,9596712,0.0,0.2843184686079077,ADAL,156,0,ADAL,"['AVBL', 'RIML']"
18,9596708,0.0,0.4309424103332965,ADAL,156,0,ADAL,"['RIML', 'AVAR']"
19,9596699,0.0,0.603263117003399,ADAL,156,0,ADAL,"['AVAL', 'AVBL', 'AVJR', 'AVDR']"
20,9596697,0.0,0.6128745178553437,ADAL,156,0,ADAL,['AVAL']
21,9596693,0.0,0.6128745178553437,ADAL,156,0,ADAL,"['AVBL', 'AVJR']"
22,9596691,0.0041534848610778,0.781760288931824,ADAL,156,0,ADAL,['AVBL']
23,9596687,0.0,0.7852090928816002,ADAL,156,0,ADAL,"['AVJR', 'AVAL']"
24,9595503,0.005752600316988,0.5972880039258269,ADAL,156,1,AWBL,['ADAL']
0,9598908,0.0,0.6731056054976657,ADAR,156,1,AVJL,['ADAR']
1,9598853,0.0207577670283887,0.7901921494975217,ADAR,156,1,AVHL,"['ADAR', 'URXR']"
2,9598662,0.0,0.2787494852710808,ADAR,156,1,ASKR,"['BDUR', 'ADAR']"
3,9598477,0.0,0.2635132198846343,ADAR,156,1,ASHR,"['ADAR', 'RIAR']"
4,9597781,0.0,0.280508052981899,ADAR,156,1,AIAR,"['ADAR', 'AIBR']"
5,9597763,0.0248006675855377,0.7901921494975217,ADAR,156,1,AIAR,"['ADAR', 'ADFR']"
6,9597650,0.0235075256390533,0.6018603054907503,ADAR,156,1,ADLR,['ADAR']
7,9597640,0.0199112192838952,0.6018603054907503,ADAR,156,1,ADLR,['ADAR']
8,9597579,0.0202533159645291,0.5435200901141872,ADAR,156,1,RIFR,"['AVBR', 'ADAR']"
9,9597553,0.031205850915494,0.6018603054907503,ADAR,156,1,RIFR,"['RMGR', 'ADAR']"
10,9596672,0.0097645068776552,0.7901921494975217,ADAR,156,0,ADAR,"['AVBR', 'AVAR']"
11,9596664,0.0,0.6294144722215075,ADAR,156,0,ADAR,"['AVAR', 'AVBR']"
12,9596660,0.0,0.7944181376606637,ADAR,156,0,ADAR,"['AVBR', 'AVAR']"
13,9596656,0.0132432968496216,0.5435200901141872,ADAR,156,0,ADAR,"['RIPR', 'AVBR']"
14,9596653,0.004345588430288,0.5435200901141872,ADAR,156,0,ADAR,['AVBR']
15,9596648,0.0,0.4272028804857163,ADAR,156,0,ADAR,"['SIBDR', 'SMBDR', 'SAADR', 'AVAL']"
16,9596644,0.0,0.397641469873099,ADAR,156,0,ADAR,"['SIADR', 'RIMR']"
17,9596638,0.0,0.2759825139656532,ADAR,156,0,ADAR,"['AVBL', 'PVPR', 'AVHL', 'RIMR']"
18,9596631,0.0,0.2604404730899877,ADAR,156,0,ADAR,"['ASHR', 'RIAR']"
19,9596628,0.0,0.2569209382791465,ADAR,156,0,ADAR,['RIMR']
20,9596626,0.0,0.2531532657901396,ADAR,156,0,ADAR,['AIBL']
21,9596624,0.0,0.2531532657901396,ADAR,156,0,ADAR,['RIMR']
22,9596620,0.0,0.2531532657901396,ADAR,156,0,ADAR,"['AVBR', 'AVBL']"
23,9596572,0.0,0.8019814692295382,ADAR,156,1,RICL,"['AVBR', 'ADAR']"
24,9595536,0.0,0.6130889683717853,ADAR,156,1,AWBR,['ADAR']
25,9595178,0.0,0.2852657786393264,ADAR,156,1,ADFR,['ADAR']
0,9596795,0.0,0.7124605638523099,ADEL,156,0,ADEL,"['AQR', 'RIGR']"
1,9595311,0.1961039898608852,0.4341851598910962,ADEL,156,0,ADEL,['PVT']
2,9595308,0.1961039898608852,0.4341851598910962,ADEL,156,0,ADEL,['AVAR']
3,9595082,0.1435024277012673,0.4341851598910962,ADEL,156,0,ADEL,['RIGL']
4,9595077,0.0,0.8971259294911094,ADEL,156,0,ADEL,['RIGR']
0,9595108,0.0182111935466778,0.3038174801777842,ADER,156,0,ADER,"['RIGL', 'SIADL']"
1,9595103,0.0,0.2333521344119572,ADER,156,0,ADER,['RIGR']
2,9595100,0.0,0.2333521344119572,ADER,156,0,ADER,['AVAL']
3,9595099,0.0,0.2906323938049173,ADER,156,0,ADER,['RIGR']
4,9595094,0.0,0.6167859925120625,ADER,156,0,ADER,"['AVAR', 'RIGL']"
5,9595091,0.0,0.7182794251024367,ADER,156,0,ADER,['RIGL']
6,9595088,0.0,0.812692419025064,ADER,156,0,ADER,['RIGL']
0,9598875,0.0,0.7041017298856888,ADFL,156,1,AVHR,"['ADFL', 'RIR', 'URXL']"
1,9597676,0.0,0.4760354641539068,ADFL,156,1,AFDL,['ADFL']
2,9595988,0.0,0.6455512668045525,ADFL,156,1,IL2L,['ADFL']
3,9595978,0.0,0.5748819274293471,ADFL,156,1,IL2L,['ADFL']
4,9595456,0.0,0.5296833072581743,ADFL,156,1,AWAL,['ADFL']
5,9595451,0.0,0.1475246829474738,ADFL,156,1,AWAL,['ADFL']
6,9595448,0.0,0.1142257812880859,ADFL,156,1,AWAL,['ADFL']
7,9595154,0.0,0.1924267419990554,ADFL,156,0,ADFL,['SMBVL']
8,9595150,0.0,0.3246734639792231,ADFL,156,0,ADFL,"['AUAL', 'RIAL']"
9,9595147,0.0,0.3431421103119869,ADFL,156,0,ADFL,['AFDL']
10,9595143,0.0,0.5615113120224262,ADFL,156,0,ADFL,"['AIML', 'AWBL']"
11,9595141,0.0,0.6698009404319526,ADFL,156,0,ADFL,['AIML']
12,9595138,0.0,0.7335860544267911,ADFL,156,0,ADFL,['AIZL']
13,9595135,0.0,0.811950724322801,ADFL,156,0,ADFL,['ASHL']
14,9595131,0.0011847810555024,0.8202291715000412,ADFL,156,0,ADFL,['AIML']
15,9595128,0.0,0.9880174112983356,ADFL,156,0,ADFL,['AUAL']
16,9594929,0.0,0.5868872653968367,ADFL,156,1,AIML,['ADFL']
0,9601883,0.0,0.5375783980227941,ADFR,156,1,URYVR,['ADFR']
1,9599343,0.0,0.4774219381319503,ADFR,156,1,DVA,"['AVHL', 'ADFR', 'RIR']"
2,9597763,0.0,0.7927299862860101,ADFR,156,1,AIAR,"['ADAR', 'ADFR']"
